Player,Nation,Squad,score
Marouane Fellaini,BEL,Manchester Utd,20.48
Kiko Femenía,ESP,Watford,59.79
Leroy Fer,NED,Swansea City,40.71
Julien Féret,FRA,Caen,93.07
Edimilson Fernandes,SUI,West Ham,23.91
Gelson Fernandes,SUI,Eint Frankfurt,44.68
Federico Fernández,ARG,Swansea City,77.74
Fernandinho,BRA,Manchester City,60.23
Alex Ferrari,ITA,Hellas Verona,65.94
Jordan Ferri,FRA,Lyon,21.11
Sam Field,ENG,West Brom,15.92
Gian Filippo Felicioli,ITA,Hellas Verona,8.42
Alfreð Finnbogason,ISL,Augsburg,32.21
Roberto Firmino,BRA,Liverpool,65.56
Junior Firpo,ESP,Betis,48.40
Viktor Fischer,DEN,Mainz 05,11.08
Mathieu Flamini,FRA,Getafe,13.89
Darren Fletcher,SCO,Stoke City,70.84
Sergio Floccari,ITA,SPAL,29.08
Alessandro Florenzi,ITA,Roma,59.49
Guessouma Fofana,MTN,Amiens,23.94
Seko Fofana,CIV,Udinese,69.18
Andreu Fontàs,ESP,Celta Vigo,27.85
José Fonte,POR,West Ham,20.05
Pablo Fornals,ESP,Villarreal,74.71
Emil Forsberg,SWE,RB Leipzig,49.90
Marco Fossati,ITA,Hellas Verona,35.06
Iver Fossum,NOR,Hannover 96,28.50
Timothy Fosu-Mensah,NED,Crystal Palace,45.40
Dimitri Foulquier,FRA,Strasbourg,39.64
Raphael Framberger,GER,Augsburg,32.21
Simon Francis,ENG,Bournemouth,48.35
Mike Frantz,GER,Freiburg,37.80
Ryan Fraser,SCO,Bournemouth,69.29
Fabian Frei,SUI,Mainz 05,27.34
Remo Freuler,SUI,Atalanta,88.97
Marco Friedl,AUT,Werder Bremen,49.70
Christian Fuchs,AUT,Leicester City,32.94
Javi Fuego,ESP,Villarreal,16.09
Javi Fuego,ESP,Espanyol,39.58
Angelo Fulgini,FRA,Angers,63.97
Niclas Füllkrug,GER,Hannover 96,54.55
Manolo Gabbiadini,ITA,Southampton,20.86
Gabi,ESP,Atlético Madrid,76.70
Gabriel,BRA,Leganés,80.36
Mijat Gaćinović,SRB,Eint Frankfurt,49.25
Roberto Gagliardini,ITA,Inter,38.85
Milan Gajić,SRB,Bordeaux,10.72
Serge Gakpé,TOG,Amiens,58.03
Andrey Galabinov,BUL,Genoa,35.28
Álex Gálvez,ESP,Las Palmas,55.56
Álex Gálvez,ESP,Eibar,11.98
Alessandro Gamberini,ITA,Chievo,56.15
Kévin Gameiro,FRA,Atlético Madrid,33.66
Idrissa Gana Gueye,SEN,Everton,92.78
Ganso,BRA,Sevilla,15.40
Ezequiel Garay,ARG,Valencia,58.86
Aleix García,ESP,Girona,42.85
Borja García,ESP,Girona,89.89
Dani García,ESP,Eibar,92.11
David García,ESP,Las Palmas,29.31
Javi García,ESP,Betis,35.20
Manu García,ESP,Alavés,55.55
Raúl García,ESP,Athletic Club,69.63
Raúl García,ESP,Leganés,29.70
Sergio García,ESP,Espanyol,44.75
Bruno Gaspar,ANG,Fiorentina,24.58
Mario Gaspar,ESP,Villarreal,58.50
Dwight Gayle,ENG,Newcastle Utd,36.21
Marcello Gazzola,ITA,Sassuolo,21.84
Jean-Philippe Gbamin,CIV,Mainz 05,88.53
Theodor Gebre Selassie,CZE,Werder Bremen,90.42
Dennis Geiger,GER,Hoffenheim,40.90
Johannes Geis,GER,Sevilla,19.74
Jérémy Gélin,FRA,Rennes,45.73
Romain Genevois,HAI,Caen,32.40
Santiago Gentiletti,ARG,Genoa,10.09
Christian Gentner,GER,Stuttgart,70.45
Yannick Gerhardt,GER,Wolfsburg,52.28
Valère Germain,FRA,Marseille,44.85
Gerson,BRA,Roma,28.99
Yassine El Ghanassy,BEL,Nantes,19.43
Anwar El Ghazi,NED,Lille,46.22
Rachid Ghezzal,ALG,Monaco,31.18
Faouzi Ghoulam,ALG,Napoli,19.58
Emanuele Giaccherini,ITA,Chievo,45.59
Niccolò Giannetti,ITA,Cagliari,8.89
Kieran Gibbs,ENG,West Brom,54.50
Carles Gil,ESP,La Coruña,15.54
Nacho Gil,ESP,Las Palmas,24.19
Daniel Ginczek,GER,Stuttgart,46.28
Matthias Ginter,GER,M'Gladbach,88.80
Jimmy Giraudon,FRA,Troyes,61.56
Andrei Girotto,BRA,Nantes,67.20
Olivier Giroud,FRA,Arsenal,10.78
Olivier Giroud,FRA,Chelsea,21.50
Kamil Glik,POL,Monaco,85.63
Serge Gnabry,GER,Hoffenheim,50.24
Joris Gnagnon,FRA,Rennes,62.61
Massimo Gobbi,ITA,Chievo,64.92
Diego Godín,URU,Atlético Madrid,78.76
Edoardo Goldaniga,ITA,Sassuolo,32.63
André Gomes,POR,Barcelona,19.03
Ibai Gómez,ESP,Alavés,58.26
Joe Gomez,ENG,Liverpool,34.04
Mario Gómez,GER,Wolfsburg,29.36
Mario Gómez,GER,Stuttgart,54.81
Maxi Gómez,URU,Celta Vigo,85.36
Papu Gómez,ARG,Atalanta,73.79
Sergi Gómez,ESP,Celta Vigo,81.62
Vicente Gómez,ESP,Las Palmas,52.41
Maxime Gonalons,FRA,Roma,35.72
Anthony Gonçalves,FRA,Strasbourg,44.19
Jérôme Gondorf,GER,Werder Bremen,25.03
Adrián González,ESP,Málaga,72.45
Álvaro González,ESP,Villarreal,86.16
Bruno González,ESP,Getafe,47.87
Diego González,ESP,Málaga,43.59
Giancarlo González,CRC,Bologna,40.23
Leon Goretzka,GER,Schalke 04,63.46
Robin Gosens,GER,Atalanta,57.84
Dan Gosling,ENG,Bournemouth,48.23
Mario Götze,GER,Dortmund,41.76
Prince-Désir Gouano,FRA,Amiens,61.22
Yoann Gourcuff,FRA,Rennes,12.77
Jeffrey Gouweleeuw,NED,Augsburg,78.17
Max Gradel,CIV,Toulouse,74.67
Samuel Grandsir,FRA,Troyes,84.16
Álex Granell,ESP,Girona,87.91
Esteban Granero,ESP,Espanyol,37.30
Alberto Grassi,ITA,SPAL,71.28
Andre Gray,JAM,Watford,33.41
Demarai Gray,ENG,Leicester City,39.87
Michael Gregoritsch,AUT,Augsburg,49.60
Clément Grenier,FRA,Guingamp,36.65
Antoine Griezmann,FRA,Atlético Madrid,76.46
Vincenzo Grifo,ITA,M'Gladbach,24.59
Florian Grillitsch,AUT,Hoffenheim,70.98
Jérémy Grimm,FRA,Strasbourg,25.60
Pascal Groß,GER,Brighton,65.89
Andrés Guardado,MEX,Betis,58.71
Gonçalo Guedes,POR,Valencia,61.37
Raphaël Guerreiro,POR,Dortmund,58.36
Francis Guerrero,ESP,Betis,42.76
John Guidetti,SWE,Alavés,21.61
Josuha Guilavogui,FRA,Wolfsburg,51.36
Frederic Guilbert,FRA,Caen,92.39
Guilherme,BRA,Benevento,29.36
Guilherme,BRA,La Coruña,86.85
Baptiste Guillaume,BEL,Angers,13.36
Sehrou Guirassy,GUI,Köln,29.17
Manuel Gulde,GER,Freiburg,51.10
Gerard Gumbau,ESP,Leganés,43.92
İlkay Gündoğan,GER,Manchester City,58.47
Christian Günter,GER,Freiburg,97.73
Luiz Gustavo,BRA,Marseille,79.86
Jonathan de Guzmán,NED,Eint Frankfurt,45.26
Bright Gyamfi,GHA,Benevento,10.39
Janik Haberer,GER,Freiburg,52.28
Alexander Hack,GER,Mainz 05,44.42
Munir El Haddadi,MAR,Alavés,74.40
Oussama Haddadi,TUN,Dijon,74.94
Florent Hadergjonaj,KVX,Huddersfield,51.48
André Hahn,GER,Hamburger SV,50.26
Oualid El Hajjam,MAR,Amiens,45.07
Achraf Hakimi,MAR,Real Madrid,24.33
Alen Halilović,CRO,Las Palmas,43.21
Sébastien Haller,CIV,Eint Frankfurt,73.76
Emil Hallfreðsson,ISL,Udinese,24.07
Marcel Halstenberg,GER,RB Leipzig,61.98
Romain Hamouma,FRA,Saint-Étienne,39.97
Marek Hamšík,SVK,Napoli,52.79
Tim Handwerker,GER,Köln,13.72
Amine Harit,MAR,Schalke 04,58.11
Martin Harnik,AUT,Hannover 96,58.77
Makoto Hasebe,JPN,Eint Frankfurt,69.95
Hans Hateboer,NED,Atalanta,69.88
Kai Havertz,GER,Leverkusen,81.16
Isaac Hayden,ENG,Newcastle Utd,56.51
Eden Hazard,BEL,Chelsea,75.58
Thorgan Hazard,BEL,M'Gladbach,89.91
Jonas Hector,GER,Köln,71.77
Ahmed Hegazi,EGY,West Brom,100.00
Dominique Heintz,GER,Köln,99.44
Filip Helander,SWE,Bologna,64.84
Marcel Heller,GER,Augsburg,42.07
Tomer Hemed,ISR,Brighton,24.05
Jordan Henderson,ENG,Liverpool,61.99
Jeff Hendrick,IRL,Burnley,59.22
Benjamin Henrichs,GER,Leverkusen,41.17
Dalbert Henrique,BRA,Inter,18.85
Christophe Hérelle,MTQ,Troyes,97.11
Mario Hermoso,ESP,Espanyol,70.56
Hernán,ESP,Las Palmas,12.46
Javier Hernández,MEX,West Ham,40.01
Lucas Hernández,FRA,Atlético Madrid,50.78
Luis Hernández,ESP,Málaga,100.00
Pablo Hernández,CHI,Celta Vigo,55.76
Theo Hernández,FRA,Real Madrid,31.00
Hernani,BRA,Saint-Étienne,16.34
Ander Herrera,ESP,Manchester Utd,39.48
Patrick Herrmann,GER,M'Gladbach,32.44
Përparim Hetemaj,FIN,Chievo,71.53
Son Heung-min,KOR,Tottenham,70.46
Thomas Heurtaux,FRA,Hellas Verona,42.47
Gonzalo Higuaín,ARG,Juventus,71.34
Oscar Hiljemark,SWE,Genoa,39.83
Vitorino Hilton,BRA,Montpellier,78.11
Martin Hinteregger,AUT,Augsburg,71.93
Wesley Hoedt,NED,Southampton,51.89
Nicolas Höfler,GER,Freiburg,78.73
Jonas Hofmann,GER,M'Gladbach,53.32
Marco Höger,GER,Köln,42.93
Jonathan Hogg,ENG,Huddersfield,72.16
Rob Holding,ENG,Arsenal,32.92
José Holebas,GRE,Watford,56.01
Lucas Höler,GER,Freiburg,56.08
Mason Holgate,ENG,Everton,52.18
Lewis Holtby,GER,Hamburger SV,46.36
Gerrit Holtmann,PHI,Mainz 05,29.90
Jannes Horn,GER,Köln,36.14
Timo Hübers,GER,Hannover 96,14.33
Benjamin Hübner,GER,Hoffenheim,49.11
Florian Hübner,GER,Hannover 96,10.67
Will Hughes,ENG,Watford,54.19
Vitor Hugo,BRA,Fiorentina,56.47
Mats Hummels,GER,Bayern Munich,65.22
Adrien Hunou,FRA,Rennes,32.45
Aaron Hunt,GER,Hamburger SV,80.94
Elseid Hysaj,ALB,Napoli,65.54
Suk Hyun-jun,KOR,Troyes,37.72
Pierre Højbjerg,DEN,Southampton,69.01
Jordon Ibe,ENG,Bournemouth,39.90
Vedad Ibišević,BIH,Hertha BSC,48.21
Vicente Iborra,ESP,Leicester City,40.66
Mauro Icardi,ARG,Inter,69.48
Brown Ideye,NGA,Málaga,21.76
Edgar Ié,POR,Lille,91.74
Julien Ielsch,FRA,Amiens,19.95
Pietro Iemmello,ITA,Benevento,26.59
Kelechi Iheanacho,NGA,Leicester City,30.39
Jordan Ikoko,COD,Guingamp,62.07
Jonathan Ikone,FRA,Montpellier,29.66
Josip Iličić,SVN,Atalanta,52.50
Asier Illarramendi,ESP,Real Sociedad,43.65
Jules Iloki,FRA,Nantes,41.77
Stefan Ilsanker,AUT,RB Leipzig,32.64
Giannelli Imbula,COD,Toulouse,71.57
Ciro Immobile,ITA,Lazio,82.04
Tom Ince,ENG,Huddersfield,70.28
Svante Ingelsson,SWE,Udinese,9.74
Roberto Inglese,ITA,Chievo,83.25
Danny Ings,ENG,Liverpool,7.00
Andrés Iniesta,ESP,Barcelona,56.82
Lorenzo Insigne,ITA,Napoli,78.21
Emiliano Insúa,ARG,Stuttgart,67.62
Takashi Inui,JPN,Eibar,67.70
Artur Ioniță,MDA,Cagliari,77.90
Isco,ESP,Real Madrid,35.63
Tatsuya Ito,JPN,Hamburger SV,38.42
Gian-Luca Itter,GER,Wolfsburg,13.50
Manuel Iturra,CHI,Málaga,48.59
Ander Iturraspe,ESP,Athletic Club,62.09
Ivi,ESP,Levante,52.54
Alex Iwobi,NGA,Arsenal,54.45
José Izquierdo,COL,Brighton,39.64
Armando Izzo,ITA,Genoa,45.51
Koo Ja-cheol,KOR,Augsburg,61.61
Paul Jaeckel,GER,Wolfsburg,8.98
Phil Jagielka,ENG,Everton,38.72
Christophe Jallet,FRA,Nice,31.56
Matty James,ENG,Leicester City,28.00
Vasilije Janjicic,SUI,Hamburger SV,12.47
Saidy Janko,GAM,Saint-Étienne,42.39
Jakub Jankto,CZE,Udinese,80.28
Daryl Janmaat,NED,Watford,38.41
Tony Jantschke,GER,M'Gladbach,23.96
Adnan Januzaj,BEL,Real Sociedad,38.03
Paweł Jaroszyński,POL,Chievo,33.83
Jason,ESP,Levante,60.96
Bakery Jatta,GAM,Hamburger SV,11.25
Corentin Jean,FRA,Toulouse,35.24
Benjamin Jeannot,FRA,Dijon,39.45
Tin Jedvaj,CRO,Leverkusen,28.01
Jemerson,BRA,Monaco,63.34
Jesé,ESP,Stoke City,19.00
Gabriel Jesus,BRA,Manchester City,47.78
Juan Jesus,BRA,Roma,49.43
Álvaro Jiménez,ESP,Getafe,15.64
Joaquín,ESP,Betis,49.33
Aron Jóhannsson,USA,Werder Bremen,8.88
Fabian Johnson,USA,M'Gladbach,18.08
Glen Johnson,ENG,Stoke City,17.22
Miloš Jojić,SRB,Köln,51.23
Jonathas,BRA,Hannover 96,19.20
Phil Jones,ENG,Manchester Utd,46.35
Nigel de Jong,NED,Mainz 05,24.94
Joan Jordán,ESP,Eibar,87.85
Jorge,BRA,Monaco,59.14
Jorginho,ITA,Napoli,87.42
Willian José,BRA,Real Sociedad,55.30
Joselu,ESP,Newcastle Utd,38.21
Yann Jouffre,FRA,Metz,8.33
Vukašin Jovanović,SRB,Bordeaux,34.22
Stevan Jovetić,MNE,Monaco,18.34
Luka Jović,SRB,Eint Frankfurt,44.28
Jozabed,ESP,Celta Vigo,39.83
Juanfran,ESP,La Coruña,100.00
Juanfran,ESP,Atlético Madrid,46.01
Juankar,ESP,Málaga,24.49
Juanmi,ESP,Real Sociedad,42.36
Juanpe,ESP,Girona,96.21
Juanpi,VEN,Málaga,18.73
Christopher Jullien,FRA,Toulouse,88.34
David Juncà,ESP,Eibar,29.99
Gideon Jung,GER,Hamburger SV,97.85
Zlatko Junuzović,AUT,Werder Bremen,52.46
Mathias Jørgensen,DEN,Huddersfield,82.06
Christian Kabasele,BEL,Watford,52.23
Alexander Kačaniklić,SWE,Nantes,9.32
Elias Kachunga,COD,Huddersfield,35.57
Pavel Kadeřábek,CZE,Hoffenheim,67.77
Shinji Kagawa,JPN,Dortmund,39.16
Florian Kainz,AUT,Werder Bremen,33.41
Dominik Kaiser,GER,RB Leipzig,10.07
Gaël Kakuta,COD,Amiens,82.46
Nikola Kalinić,CRO,Milan,52.32
Salomon Kalou,CIV,Hertha BSC,72.97
François Kamano,GUI,Bordeaux,50.63
Boubacar Kamara,FRA,Marseille,63.07
Marcin Kamiński,POL,Stuttgart,37.77
Kevin Kampl,SVN,RB Leipzig,64.74
Harry Kane,ENG,Tottenham,75.72
N'Golo Kanté,FRA,Chelsea,67.62
Kenan Karaman,TUR,Hannover 96,26.79
Yann Karamoh,FRA,Inter,13.79
Florian Kath,GER,Freiburg,21.24
Beram Kayal,ISR,Brighton,24.14
Olarenwaju Kayode,NGA,Girona,11.99
Moise Kean,ITA,Hellas Verona,33.45
Michael Keane,ENG,Everton,90.65
Thilo Kehrer,GER,Schalke 04,76.78
Naby Keïta,GUI,RB Leipzig,72.35
Keko,ESP,Málaga,36.57
Martin Kelly,ENG,Crystal Palace,36.03
Marc-Oliver Kempf,GER,Freiburg,29.68
Kenedy,BRA,Newcastle Utd,39.81
Jonjoe Kenny,ENG,Everton,36.87
Christophe Kerbrat,FRA,Guingamp,81.03
Franck Kessié,CIV,Milan,90.52
Billy Ketkeophomphone,LAO,Angers,13.28
Saîf-Eddine Khaoui,TUN,Troyes,63.31
Wahbi Khazri,TUN,Rennes,55.85
Rani Khedira,GER,Augsburg,77.93
Sami Khedira,GER,Juventus,34.78
Kike,ESP,Eibar,67.74
Joshua Kimmich,GER,Bayern Munich,84.13
Presnel Kimpembe,FRA,Paris S-G,73.76
Andy King,WAL,Leicester City,15.01
Andy King,WAL,Swansea City,21.04
Joshua King,NOR,Bournemouth,69.42
Simon Kjær,DEN,Sevilla,51.37
Felix Klaus,GER,Hannover 96,62.36
Ragnar Klavan,EST,Liverpool,41.74
Tim Kleindienst,GER,Freiburg,35.72
Lukas Klostermann,GER,RB Leipzig,73.01
Lukas Klünter,GER,Köln,46.05
Robin Knoche,GER,Wolfsburg,73.44
Anthony Knockaert,FRA,Brighton,62.03
Robin Koch,GER,Freiburg,71.06
Dominik Kohr,GER,Leverkusen,42.73
Koke,ESP,Atlético Madrid,88.47
Aleksandar Kolarov,SRB,Roma,93.44
Sead Kolašinac,BIH,Arsenal,55.36
Vincent Kompany,BEL,Manchester City,40.90
Ibrahima Konaté,FRA,RB Leipzig,44.53
Moussa Konaté,SEN,Amiens,52.08
Geoffrey Kondogbia,CTA,Valencia,48.80
Bakary Koné,BFA,Strasbourg,77.55
Terence Kongolo,NED,Huddersfield,54.96
Yevhen Konoplyanka,UKR,Schalke 04,34.57
Julian Korb,GER,Hannover 96,53.51
Laurent Koscielny,FRA,Arsenal,52.81
Filip Kostić,SRB,Hamburger SV,90.82
Christian Kouakou,CIV,Caen,24.52
Kalidou Koulibaly,SEN,Napoli,80.33
Jules Koundé,FRA,Bordeaux,73.71
Cheikhou Kouyaté,SEN,West Ham,79.03
Mateo Kovačić,CRO,Real Madrid,33.07
Dawid Kownacki,POL,Sampdoria,24.14
Vincent Koziello,FRA,Nice,25.15
Vincent Koziello,FRA,Köln,29.03
Emil Krafth,SWE,Bologna,29.50
Andrej Kramarić,CRO,Hoffenheim,74.69
Christoph Kramer,GER,M'Gladbach,48.65
Ladislav Krejčí,CZE,Bologna,26.17
Rene Krhin,SVN,Nantes,27.17
Bojan Krkić,ESP,Alavés,13.60
Michael Krohn-Dehli,DEN,La Coruña,23.78
Michael Krohn-Dehli,DEN,Sevilla,15.94
Toni Kroos,GER,Real Madrid,77.46
Max Kruse,GER,Werder Bremen,86.45
Grzegorz Krychowiak,POL,West Brom,49.87
Lukas Kübler,GER,Freiburg,44.78
Jasmin Kurtić,SVN,SPAL,58.06
Jasmin Kurtić,SVN,Atalanta,20.90
Layvin Kurzawa,FRA,Paris S-G,41.16
Zdravko Kuzmanović,SRB,Málaga,15.64
Han Kwang-song,PRK,Cagliari,8.39
Alberto de la Bella,ESP,Real Sociedad,45.87
Rajiv van La Parra,NED,Huddersfield,36.50
Gaëtan Laborde,FRA,Bordeaux,27.19
Alexandre Lacazette,FRA,Arsenal,56.41
Mehdi Lacen,ALG,Málaga,32.89
Léo Lacroix,SUI,Saint-Étienne,22.93
Víctor Laguardia,ESP,Alavés,80.99
Konrad Laimer,AUT,RB Leipzig,59.48
Kenny Lala,FRA,Strasbourg,78.25
Adam Lallana,ENG,Liverpool,10.88
Érik Lamela,ARG,Tottenham,25.99
Sebastian Langkamp,GER,Hertha BSC,32.68
Sebastian Langkamp,GER,Werder Bremen,23.87
Manuel Lanzini,ARG,West Ham,38.56
Gianluca Lapadula,PER,Genoa,29.19
Aymeric Laporte,ESP,Manchester City,57.00
Aymeric Laporte,ESP,Athletic Club,55.26
Danilo Larangeira,BRA,Udinese,85.21
Kevin Lasagna,ITA,Udinese,60.32
Jamaal Lascelles,ENG,Newcastle Utd,76.52
Paul Lasne,FRA,Montpellier,74.71
Toni Lato,ESP,Valencia,18.70
Danny Latza,GER,Mainz 05,62.20
Vincent Laurini,FRA,Fiorentina,39.08
Wesley Lautoa,NCL,Dijon,51.76
Diego Laxalt,URU,Genoa,89.64
Miguel Layún,MEX,Sevilla,34.23
Achraf Lazaar,MAR,Benevento,14.70
Valentino Lazaro,AUT,Hertha BSC,76.47
Darko Lazović,SRB,Genoa,60.28
Manuel Lazzari,ITA,SPAL,95.51
Maxime Le Marchand,FRA,Nice,78.71
James Lea Siliki,CMR,Rennes,39.99
Mathew Leckie,AUS,Hertha BSC,36.13
Pierre Lees-Melou,FRA,Nice,72.04
Matthias Lehmann,GER,Köln,54.11
Lucas Leiva,BRA,Lazio,65.42
Florian Lejeune,FRA,Newcastle Utd,40.96
Iñigo Lekue,ESP,Athletic Club,42.51
Thomas Lemar,FRA,Monaco,73.61
Mario Lemina,GAB,Southampton,47.46
Mauricio Lemos,URU,Sassuolo,20.09
Mauricio Lemos,URU,Las Palmas,43.98
Clément Lenglet,FRA,Sevilla,87.33
Aaron Lennon,ENG,Burnley,30.39
Aaron Lennon,ENG,Everton,24.79
Pedro León,ESP,Eibar,33.12
Sergio León,ESP,Betis,38.03
Lukas Lerager,DEN,Bordeaux,67.81
Jefferson Lerma,COL,Levante,65.61
Maxime Lestienne,BEL,Málaga,20.26
Gaetano Letizia,ITA,Benevento,58.93
Timo Letschert,NED,Sassuolo,12.30
Robert Lewandowski,POL,Bayern Munich,77.11
Igor Lewczuk,POL,Bordeaux,13.10
Stephan Lichtsteiner,SUI,Juventus,55.31
Dimitri Liénard,FRA,Strasbourg,60.08
Philipp Lienhart,AUT,Freiburg,60.65
Lucas Lima,BRA,Nantes,55.23
Victor Lindelöf,SWE,Manchester Utd,68.68
Karol Linetty,POL,Sampdoria,66.94
Jesse Lingard,ENG,Manchester Utd,33.70
Pol Lirola,ESP,Sassuolo,72.95
Jake Livermore,ENG,West Brom,58.31
Adem Ljajić,SRB,Torino,66.48
Diego Llorente,ESP,Real Sociedad,64.27
Marcos Llorente,ESP,Real Madrid,17.95
Giovani Lo Celso,ARG,Paris S-G,62.86
Stanislav Lobotka,SVK,Celta Vigo,70.38
Manuel Locatelli,ITA,Milan,21.81
Ruben Loftus-Cheek,ENG,Crystal Palace,53.10
David Lombán,ESP,Eibar,32.34
Cristiano Lombardi,ITA,Benevento,34.00
Kevin Long,IRL,Burnley,20.16
Shane Long,IRL,Southampton,30.85
Ademola Lookman,NGA,RB Leipzig,15.75
Rony Lopes,POR,Monaco,65.58
Adrián López,ESP,La Coruña,74.25
David López,ESP,Espanyol,62.91
Javi López,ESP,Espanyol,42.76
Maxi López,ARG,Udinese,49.27
Maxime Lopez,FRA,Marseille,48.15
Pedro López Muñoz,ESP,Levante,31.43
Dejan Lovren,CRO,Liverpool,37.28
Chris Löwe,GER,Huddersfield,53.58
Matthew Lowton,ENG,Burnley,59.61
Anthony Lozano,HON,Girona,19.09
Fabio Lucioni,ITA,Benevento,22.30
Filipe Luís,BRA,Atlético Madrid,59.98
José Luis Gayà,ESP,Valencia,80.00
José Luis Morales,ESP,Levante,81.73
José Luis Palomino,ARG,Atalanta,76.22
Luisinho,POR,La Coruña,86.42
David Luiz,BRA,Chelsea,59.25
Douglas Luiz,BRA,Girona,29.84
Everton Luiz,BRA,SPAL,15.35
Jordan Lukaku,BEL,Lazio,26.24
Romelu Lukaku,BEL,Manchester Utd,67.15
Saša Lukić,SRB,Levante,29.82
Senad Lulić,BIH,Lazio,57.37
Antonio Luna,ESP,Levante,49.59
Fabian Lustenberger,SUI,Hertha BSC,63.94
Lyanco,BRA,Torino,35.62
Charalambos Lykogiannis,GRE,Cagliari,43.96
Cheikh M'Bengue,SEN,Saint-Étienne,14.36
Yann M'Vila,FRA,Saint-Étienne,68.50
Pablo Maffeo,ESP,Girona,86.37
Christian Maggio,ITA,Napoli,19.59
Francesco Magnanelli,ITA,Sassuolo,39.53
Harry Maguire,ENG,Leicester City,86.37
Riyad Mahrez,ALG,Leicester City,83.19
Thiago Maia,BRA,Lille,51.46
Arne Maier,GER,Hertha BSC,43.30
Domenico Maietta,ITA,Bologna,14.65
Habib Maïga,CIV,Saint-Étienne,21.02
Ainsley Maitland-Niles,ENG,Arsenal,23.53
Nemanja Maksimović,SRB,Valencia,17.50
Malcom,BRA,Bordeaux,84.82
Kévin Malcuit,MAR,Lille,53.28
Yunus Mallı,TUR,Wolfsburg,47.64
Hugo Mallo,ESP,Celta Vigo,75.53
Scott Malone,ENG,Huddersfield,33.42
Vincent Manceau,FRA,Angers,77.72
Gianluca Mancini,ITA,Atalanta,47.19
Aïssa Mandi,ALG,Betis,88.49
Georges Mandjeck,CMR,Metz,28.06
Rolando Mandragora,ITA,Crotone,100.00
Mario Mandžukić,CRO,Juventus,66.51
Sadio Mané,SEN,Liverpool,72.40
Eliaquim Mangala,FRA,Manchester City,14.53
Orel Mangala,BEL,Stuttgart,50.26
Kader Mangane,SEN,Strasbourg,53.66
Thomas Mangani,FRA,Angers,72.03
Kostas Manolas,GRE,Roma,73.29
Javier Manquillo,ESP,Newcastle Utd,43.86
Martín Mantovani,ARG,Leganés,34.12
José Manuel Jurado,ESP,Espanyol,44.01
Harrison Manzala,COD,Amiens,60.26
Myziane Maolida,FRA,Lyon,10.20
Faitout Maouassa,FRA,Rennes,38.40
Fernando Marçal,BRA,Lyon,32.86
Marcelo,BRA,Real Madrid,45.96
Marcelo,BRA,Lyon,84.19
Solly March,ENG,Brighton,51.68
Claudio Marchisio,ITA,Juventus,27.30
Gian Marco Ferrari,ITA,Sampdoria,82.07
Óscar de Marcos,ESP,Athletic Club,50.02
José María Giménez,URU,Atlético Madrid,56.57
Mariano,DOM,Lyon,73.95
Adrian Mariappa,JAM,Watford,54.24
Jordan Marié,FRA,Dijon,49.30
João Mário,POR,West Ham,29.44
João Mário,POR,Inter,23.73
Guillermo Maripán,CHI,Alavés,54.41
Marlon,BRA,Nice,59.85
Dominic Maroh,SVN,Köln,32.81
Marquinhos,BRA,Paris S-G,79.68
Bruno Martella,ITA,Crotone,80.89
Roger Martí,ESP,Levante,54.47
Anthony Martial,FRA,Manchester Utd,50.29
Aarón Martín,ESP,Espanyol,82.99
Jonas Martin,FRA,Strasbourg,83.26
Cuco Martina,CUW,Everton,59.97
Iñigo Martínez,ESP,Athletic Club,77.69
Iñigo Martínez,ESP,Real Sociedad,31.83
Javi Martínez,ESP,Bayern Munich,32.32
Pablo Martinez,FRA,Strasbourg,79.04
Bruno Martins Indi,NED,Stoke City,38.63
Jonathan Martins Pereira,FRA,Guingamp,34.94
Adam Marušić,MNE,Lazio,67.78
Omar Mascarell,ESP,Eint Frankfurt,26.72
Javier Mascherano,ARG,Barcelona,16.95
Andrea Masiello,ITA,Atalanta,55.57
Adam Masina,MAR,Bologna,88.39
Arthur Masuaku,COD,West Ham,36.41
Juan Mata,ESP,Manchester Utd,32.19
Nemanja Matić,SRB,Manchester Utd,57.05
Joël Matip,CMR,Liverpool,44.36
Ryder Matos,BRA,Hellas Verona,29.39
Alessandro Matri,ITA,Sassuolo,21.29
Ville Matti Steinmann,GER,Hamburger SV,23.94
Federico Mattiello,ITA,SPAL,69.88
Blaise Matuidi,FRA,Juventus,74.26
Mërgim Mavraj,ALB,Hamburger SV,55.89
Alfie Mawson,ENG,Swansea City,100.00
Philipp Max,GER,Augsburg,92.26
Alexandru Maxim,ROU,Mainz 05,26.11
Eric Maxim Choupo-Moting,CMR,Stoke City,71.73
Borja Mayoral,ESP,Real Madrid,10.70
Luca Mazzitelli,ITA,Sassuolo,29.32
Kylian Mbappé,FRA,Paris S-G,71.94
Ibrahima Mbaye,SEN,Bologna,44.36
Chancel Mbemba,COD,Newcastle Utd,22.61
Adama Mbengue,SEN,Caen,35.07
Isaac Mbenza,BEL,Montpellier,61.41
James McArthur,SCO,Crystal Palace,66.10
Gareth McAuley,NIR,West Brom,13.41
Oliver McBurnie,SCO,Swansea City,7.91
James McClean,IRL,West Brom,41.32
Weston McKennie,USA,Schalke 04,53.98
Scott McTominay,SCO,Manchester Utd,44.34
Iuri Medeiros,POR,Genoa,20.50
Álvaro Medrán,ESP,Alavés,30.00
