Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,27,62,37,30,24,8,25,65,38.5,40,43,1,42,21,83,52,1
Dilane Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18,2002,1,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0
Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,2,2,1,1,0,1,0,0,,0,2,2,0,1,3,1,0
Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keita Baldé,sn SEN,FW,Cagliari,it Serie A,26,1995,14,8,4,1,5,2,1,10,10.0,9,6,0,6,4,12,6,0
Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3,2,1,1,0,1,1,4,25.0,3,2,0,2,2,4,1,0
Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,23,33,24,15,15,3,25,43,58.1,18,27,4,23,21,54,79,0
Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,11,9,6,9,0,0,5,14,35.7,9,11,4,7,19,28,30,0
Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35,45,22,25,11,9,19,31,61.3,12,24,5,19,39,84,64,0
Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,5,18,14,5,13,0,4,9,44.4,5,6,2,4,3,21,5,0
Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,1,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0
Abdoulaye Bamba,ci CIV,DFFW,Angers,fr Ligue 1,31,1990,5,6,5,6,0,0,4,11,36.4,7,5,1,4,9,15,13,0
Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,27,30,12,13,9,8,13,36,36.1,23,24,1,23,21,51,10,0
Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,6,1,0,0,1,0,0,3,0.0,3,8,2,6,2,3,8,0
Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,22,33,20,10,17,6,15,31,48.4,16,22,5,17,10,43,37,2
Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,14,23,13,17,6,0,14,18,77.8,4,19,11,8,20,43,76,0
Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,1,2,1,0,0,2,0,2,0.0,2,1,0,1,1,3,2,0
Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,10,14,4,9,4,1,6,15,40.0,9,10,0,10,11,25,12,0
Antonín Barák,cz CZE,MFFW,Hellas Verona,it Serie A,26,1994,26,18,8,9,8,1,5,17,29.4,12,32,5,27,6,24,26,0
Barbero,es ESP,FWMF,Osasuna,es La Liga,22,1998,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1,0,0,0,0,0,0,0,,0,1,1,0,2,2,10,0
Barcia,es ESP,DF,Granada,es La Liga,20,2000,1,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,1
Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,3,7,4,2,3,2,1,8,12.5,7,7,1,6,2,9,1,1
Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,29,59,37,38,17,4,41,63,65.1,22,33,10,23,51,110,56,0
Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,19,29,12,12,14,3,12,35,34.3,23,13,2,11,10,39,7,0
Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,17,27,17,14,12,1,11,31,35.5,20,20,10,10,15,42,26,1
Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,32,63,42,17,35,11,29,55,52.7,26,26,2,24,21,84,8,2
Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,10,15,11,4,7,4,8,22,36.4,14,10,1,9,9,24,4,0
Ross Barkley,eng ENG,MFFW,Chelsea,eng Premier League,27,1993,2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
Aymen Barkok,ma MAR,MFDF,Eint Frankfurt,de Bundesliga,23,1998,2,6,2,2,3,1,2,7,28.6,5,4,1,3,5,11,6,0
Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,9,11,2,2,7,2,2,9,22.2,7,8,1,7,2,13,5,0
Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,23,31,16,9,11,11,7,23,30.4,16,24,1,23,5,36,7,0
Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,11,21,14,13,7,1,11,17,64.7,6,5,3,2,17,38,34,0
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,20,63,32,23,27,13,29,50,58.0,21,23,6,17,32,95,23,0
Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,6,15,10,9,6,0,8,18,44.4,10,7,0,7,2,17,2,0
Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,18,16,12,10,6,0,8,21,38.1,13,19,7,12,28,44,43,0
Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,24,12,4,4,4,4,6,20,30.0,14,20,1,19,6,18,8,0
Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,2,6,4,3,3,0,5,7,71.4,2,5,2,3,4,10,1,0
Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,22,39,14,18,17,4,19,35,54.3,16,39,22,17,33,72,105,1
Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,2,3,3,2,0,1,2,6,33.3,4,0,0,0,1,4,2,0
Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,3,6,5,3,1,2,1,5,20.0,4,2,0,2,2,8,5,0
Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,11,12,8,3,9,0,5,17,29.4,12,13,4,9,4,16,21,0
Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,2,2,2,1,0,1,0,4,0.0,4,4,1,3,2,4,0,0
Amine Bassi,fr FRA,MFFW,Metz,fr Ligue 1,23,1997,2,6,3,2,3,1,1,3,33.3,2,5,0,5,0,6,0,0
Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,2,7,4,2,4,1,4,5,80.0,1,1,0,1,3,10,1,0
Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,26,44,25,28,13,3,17,34,50.0,17,22,12,10,35,79,59,1
Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,25,52,34,28,17,7,21,65,32.3,44,38,11,27,30,82,31,0
Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,2,1,0,0,0,1,0,8,0.0,8,1,0,1,1,2,1,0
Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,13,32,16,13,19,0,15,30,50.0,15,21,10,11,10,42,36,0
Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,19,28,15,17,10,1,11,28,39.3,17,24,14,10,29,57,99,0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,19,1
Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,24,59,28,34,21,4,31,47,66.0,16,27,11,16,37,96,58,0
Julian Baumgartlinger,at AUT,MFFW,Leverkusen,de Bundesliga,33,1988,1,3,1,2,1,0,1,2,50.0,1,1,0,1,2,5,0,0
Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,21,28,15,14,7,7,13,32,40.6,19,24,3,21,8,36,16,0
Jon Bautista,es ESP,MF,Real Sociedad,es La Liga,26,1995,1,3,0,0,3,0,0,1,0.0,1,1,0,1,1,4,1,0
Paul Baysse,fr FRA,MFDF,Bordeaux,fr Ligue 1,33,1988,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,3,5,2,2,2,1,3,4,75.0,1,8,2,6,1,6,4,0
Bebé,cv CPV,FW,Rayo Vallecano,es La Liga,31,1990,10,6,5,1,3,2,4,16,25.0,12,18,0,18,3,9,6,0
Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,23,22,14,5,12,5,7,21,33.3,14,20,3,17,12,34,25,0
Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,35,81,46,49,30,2,34,60,56.7,26,45,20,25,42,123,89,3
Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,9,8,7,6,2,0,6,7,85.7,1,9,6,3,6,14,25,0
Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,20,9,6,3,4,2,6,18,33.3,12,11,0,11,2,11,4,0
Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,29,32,15,18,13,1,19,33,57.6,14,48,27,21,72,104,141,0
Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,1,6,4,4,1,1,1,2,50.0,1,5,1,4,2,8,1,0
Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,5,15,7,8,6,1,6,13,46.2,7,6,2,4,6,21,4,0
Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Valon Behrami,ch SUI,MFFW,Genoa,it Serie A,36,1985,4,3,1,0,2,1,0,7,0.0,7,4,1,3,1,4,4,0
Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,6,3,2,1,1,1,0,4,0.0,4,3,0,3,3,6,7,0
Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,9,2,1,0,0,2,2,9,22.2,7,5,1,4,7,9,4,0
Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,18,9,6,4,4,1,4,8,50.0,4,9,1,8,5,14,16,0
Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,26,46,23,21,21,4,18,39,46.2,21,26,6,20,48,94,30,1
Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,32,54,23,37,16,1,30,63,47.6,33,26,15,11,41,95,112,1
Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,20,34,20,25,9,0,18,28,64.3,10,23,17,6,43,77,88,2
Raoul Bellanova,it ITA,DFFW,Cagliari,it Serie A,21,2000,28,29,15,14,12,3,6,27,22.2,21,39,8,31,21,50,51,0
Karim Bellarabi,de GER,FWMF,Leverkusen,de Bundesliga,31,1990,8,9,4,4,4,1,3,13,23.1,10,5,0,5,9,18,4,0
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,23,1998,26,51,32,21,21,9,17,41,41.5,24,29,4,25,27,78,19,0
Héctor Bellerín,es ESP,DF,Betis,es La Liga,26,1995,22,52,32,29,20,3,31,44,70.5,13,11,2,9,23,75,57,1
Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,18,2003,31,52,34,15,31,6,21,53,39.6,32,50,4,46,42,94,32,0
George Bello,us USA,DF,Arminia,de Bundesliga,19,2002,5,7,7,7,0,0,4,4,100.0,0,5,4,1,6,13,11,0
Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,16,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Andrea Belotti,it ITA,FW,Torino,it Serie A,27,1993,15,7,3,2,2,3,3,12,25.0,9,12,4,8,2,9,9,0
Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,22,1999,29,56,41,27,23,6,28,68,41.2,40,29,5,24,32,88,39,0
Hatem Ben Arfa,fr FRA,FWMF,Lille,fr Ligue 1,34,1987,4,4,2,2,1,1,2,4,50.0,2,3,0,3,0,4,1,0
Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,18,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,30,1990,28,18,8,1,11,6,6,15,40.0,9,12,1,11,0,18,1,0
Marco Benassi,it ITA,DFMF,Fiorentina,it Serie A,26,1994,2,1,0,1,0,0,1,2,50.0,1,3,0,3,3,4,3,0
Marco Benassi,it ITA,MF,Empoli,it Serie A,26,1994,4,6,3,3,2,1,1,10,10.0,9,4,0,4,3,9,6,0
Darío Benedetto,ar ARG,FWMF,Elche,es La Liga,31,1990,7,5,1,2,2,1,3,6,50.0,3,4,0,4,1,6,1,0
Darío Benedetto,ar ARG,FWMF,Marseille,fr Ligue 1,31,1990,1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,23,1997,3,5,3,1,3,1,1,6,16.7,5,5,2,3,2,7,5,0
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,12,2
Iker Benito,es ESP,FWMF,Osasuna,es La Liga,18,2002,1,2,1,1,0,1,0,1,0.0,1,2,0,2,0,2,2,0
Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,1992,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1
Pedro Benito,es ESP,FW,Cádiz,es La Liga,21,2000,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Filip Benković,hr CRO,DFFW,Udinese,it Serie A,24,1997,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,23,1997,17,44,30,22,15,7,21,50,42.0,29,20,4,16,25,69,15,0
Keanan Bennetts,eng ENG,FWDF,M'Gladbach,de Bundesliga,22,1999,1,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0
Saïd Benrahma,dz ALG,FWMF,West Ham,eng Premier League,25,1995,24,28,17,16,9,3,15,38,39.5,23,17,1,16,9,37,8,0
Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,1995,22,44,29,25,16,3,29,46,63.0,17,33,7,26,39,83,87,2
Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,26,1994,17,42,24,15,20,7,16,29,55.2,13,24,9,15,28,70,13,0
Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,24,1997,15,36,18,14,14,8,16,32,50.0,16,24,9,15,20,56,35,0
Rodrigo Bentancur,uy URU,MF,Juventus,it Serie A,24,1997,13,32,18,11,18,3,7,20,35.0,13,15,2,13,26,58,15,1
Christian Benteke,be BEL,FW,Crystal Palace,eng Premier League,30,1990,13,3,2,1,2,0,2,6,33.3,4,7,3,4,2,5,33,0
Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,33,1987,29,11,9,5,3,3,2,9,22.2,7,10,0,10,4,15,13,0
Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,26,1994,31,32,19,9,16,7,15,57,26.3,42,39,2,37,31,63,23,0
Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,1990,11,25,11,10,11,4,7,14,50.0,7,19,6,13,13,38,25,0
Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,26,1995,24,45,26,23,14,8,11,51,21.6,40,40,2,38,16,61,20,0
Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,33,64,38,34,25,5,37,80,46.3,43,38,12,26,42,106,73,1
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,eng Premier League,30,1990,12,16,6,7,7,2,5,20,25.0,15,11,2,9,12,28,22,0
Patrick Berg,no NOR,MF,Lens,fr Ligue 1,23,1997,3,14,6,6,8,0,0,4,0.0,4,2,1,1,4,18,3,0
Mitchell van Bergen,nl NED,FWMF,Reims,fr Ligue 1,21,1999,11,8,5,7,0,1,6,15,40.0,9,9,0,9,4,12,7,0
Steven Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,23,1997,6,3,2,2,1,0,1,10,10.0,9,3,0,3,1,4,8,0
Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Valon Berisha,xk KVX,MFFW,Reims,fr Ligue 1,28,1993,5,10,7,2,5,3,2,10,20.0,8,9,0,9,4,14,3,0
Federico Bernardeschi,it ITA,MFFW,Juventus,it Serie A,27,1994,16,16,10,7,4,5,6,13,46.2,7,12,4,8,5,21,15,0
Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,8,1
Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,2
Juan Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,28,1993,11,24,14,10,10,4,13,18,72.2,5,8,0,8,8,32,16,0
Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,31,1990,19,29,14,5,17,7,12,34,35.3,22,14,2,12,8,37,4,1
Nicolò Bertola,it ITA,MFDF,Spezia,it Serie A,18,2003,0,3,2,3,0,0,3,4,75.0,1,0,0,0,3,6,1,0
Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,1989,4,8,5,3,4,1,2,5,40.0,3,8,3,5,1,9,7,0
Daniel Bessa,it ITA,MF,Hellas Verona,it Serie A,28,1993,9,7,2,3,3,1,4,15,26.7,11,13,3,10,5,12,11,0
Beto,gw GNB,FW,Udinese,it Serie A,23,1998,24,21,6,2,14,5,9,19,47.4,10,16,1,15,5,26,25,1
Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,2000,15,47,27,32,14,1,24,44,54.5,20,20,7,13,15,62,55,2
Bartosz Bialek,pl POL,FWDF,Wolfsburg,de Bundesliga,19,2001,2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
Giulian Biancone,fr FRA,DFMF,Troyes,fr Ligue 1,21,2000,26,70,42,44,22,4,40,69,58.0,29,23,8,15,53,123,71,1
Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,31,1990,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mads Bidstrup,dk DEN,MF,Brentford,eng Premier League,20,2001,1,1,0,0,1,0,0,3,0.0,3,0,0,0,1,2,2,0
Pedro Bigas,es ESP,DF,Elche,es La Liga,30,1990,17,24,10,16,8,0,9,20,45.0,11,21,16,5,18,42,77,1
El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,19,2001,13,13,6,4,6,3,2,7,28.6,5,10,3,7,6,19,19,0
Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,27,1993,11,17,8,14,1,2,8,11,72.7,3,9,1,8,10,27,35,0
Luis Binks,eng ENG,DF,Bologna,it Serie A,19,2001,7,8,4,7,1,0,4,6,66.7,2,6,5,1,17,25,33,1
Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28,1992,35,37,24,17,15,5,22,53,41.5,31,28,10,18,19,56,31,1
Davide Biraschi,it ITA,DF,Genoa,it Serie A,27,1994,10,31,16,19,9,3,17,24,70.8,7,16,9,7,16,47,26,0
Tom Bischof,de GER,MF,Hoffenheim,de Bundesliga,16,2005,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,24,1996,24,76,49,35,37,4,21,37,56.8,16,33,3,30,50,126,49,0
Nathan Bitu Mazala,fr FRA,DF,Paris S-G,fr Ligue 1,18,2002,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,24,1
Bjarki Bjarkason,is ISL,MF,Venezia,it Serie A,21,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Blanco,es ESP,MF,Real Madrid,es La Liga,21,2000,0,2,0,1,1,0,0,0,,0,1,1,0,1,3,0,0
Ludovic Blas,fr FRA,MFFW,Nantes,fr Ligue 1,23,1997,33,33,18,7,20,6,15,43,34.9,28,33,3,30,31,64,6,1
Danny Blum,de GER,FW,Bochum,de Bundesliga,30,1991,4,2,1,0,0,2,0,2,0.0,2,4,0,4,2,4,1,0
Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,20,2001,11,9,7,2,3,4,1,5,20.0,4,6,0,6,2,11,1,0
Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,32,1988,18,20,15,11,9,0,9,17,52.9,8,20,10,10,20,40,73,0
Kevin-Prince Boateng,gh GHA,MFFW,Hertha BSC,de Bundesliga,34,1987,8,6,5,1,4,1,3,9,33.3,6,7,2,5,6,12,11,0
Antonin Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,25,1995,0,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0
Herbert Bockhorn,de GER,DF,Bochum,de Bundesliga,26,1995,9,24,14,14,7,3,13,21,61.9,8,10,1,9,14,38,18,0
Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,27,1994,20,40,23,18,17,5,22,53,41.5,31,41,3,38,25,65,11,0
Jeremie Boga,ci CIV,FWMF,Atalanta,it Serie A,24,1997,9,7,3,0,4,3,4,6,66.7,2,6,0,6,1,8,3,1
Jeremie Boga,ci CIV,FWMF,Sassuolo,it Serie A,24,1997,7,7,4,1,2,4,2,3,66.7,1,3,0,3,2,9,1,1
Luka Bogdan,hr CRO,DF,Salernitana,it Serie A,25,1996,4,6,3,6,0,0,4,8,50.0,4,3,2,1,6,12,21,0
Emil Bohinen,no NOR,MF,Salernitana,it Serie A,22,1999,8,15,9,4,9,2,10,20,50.0,10,17,3,14,12,27,14,0
Quentin Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,24,1997,11,19,11,6,10,3,8,17,47.1,9,15,0,15,6,25,5,0
Charles Boli,fr FRA,MFDF,Lens,fr Ligue 1,22,1998,0,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
Willy Boly,ci CIV,DF,Wolves,eng Premier League,30,1991,10,25,19,18,7,0,8,15,53.3,7,14,6,8,14,39,35,0
Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,31,1989,25,33,17,12,16,5,21,46,45.7,25,20,2,18,14,47,9,1
Federico Bonazzoli,it ITA,FWMF,Salernitana,it Serie A,24,1997,21,24,12,9,8,7,6,25,24.0,19,17,1,16,6,30,7,0
Tarsis Bonga,de GER,MFFW,Bochum,de Bundesliga,24,1997,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,25,1996,13,25,16,16,7,2,13,14,92.9,1,22,7,15,16,41,35,0
Solomon Bonnah,nl NED,DF,RB Leipzig,de Bundesliga,17,2003,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,34,1987,22,14,5,4,10,0,8,13,61.5,5,22,17,5,26,40,82,0
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,22,1999,22,30,19,23,5,2,16,25,64.0,9,29,8,21,42,72,97,1
Rafael Borré,co COL,FW,Eint Frankfurt,de Bundesliga,25,1995,26,31,22,4,13,14,7,33,21.2,26,24,4,20,5,36,9,0
Sven Botman,nl NED,DF,Lille,fr Ligue 1,21,2000,25,24,11,13,11,0,12,18,66.7,6,32,21,11,26,50,116,0
Denis Bouanga,ga GAB,FWMF,Saint-Étienne,fr Ligue 1,26,1994,27,46,25,14,13,19,22,63,34.9,41,30,0,30,8,54,34,1
Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,21,1999,18,31,18,15,10,6,13,36,36.1,23,17,4,13,18,49,15,0
Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,31,1990,25,27,15,11,12,4,12,29,41.4,17,17,2,15,10,37,5,0
Sofiane Boufal,ma MAR,FWMF,Angers,fr Ligue 1,27,1993,26,44,29,19,16,9,18,38,47.4,20,19,2,17,7,51,1,0
Farid Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,28,1993,17,18,10,7,9,2,14,38,36.8,24,8,2,6,12,30,5,0
Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1
Ismaëlben Boura,fr FRA,DF,Lens,fr Ligue 1,20,2000,1,2,2,1,1,0,0,0,,0,1,1,0,2,4,5,0
Mehdi Bourabia,ma MAR,MF,Spezia,it Serie A,29,1991,3,5,1,2,3,0,3,11,27.3,8,7,6,1,3,8,10,0
Benjamin Bourigeaud,fr FRA,FWMF,Rennes,fr Ligue 1,27,1994,36,46,24,16,18,12,24,67,35.8,43,33,3,30,30,76,44,0
Redwan Bourles,fr FRA,MFFW,Lorient,fr Ligue 1,18,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Edoardo Bove,it ITA,MFDF,Roma,it Serie A,19,2002,1,1,1,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0
Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,24,1996,33,36,20,20,11,5,17,44,38.6,27,29,2,27,21,57,14,0
Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,30,1990,21,15,13,11,3,1,8,11,72.7,3,17,13,4,17,32,134,1
Lucas Boyé,ar ARG,FW,Elche,es La Liga,25,1996,19,27,13,5,15,7,9,24,37.5,15,24,1,23,2,29,23,0
Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,21,1999,5,11,9,8,2,1,7,12,58.3,5,5,2,3,10,21,7,1
Bilal Brahimi,dz ALG,MF,Nice,fr Ligue 1,21,2000,4,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,1,0
Bilal Brahimi,dz ALG,FW,Angers,fr Ligue 1,21,2000,4,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0
Martin Braithwaite,dk DEN,FW,Barcelona,es La Liga,30,1991,3,1,1,0,0,1,0,0,,0,2,0,2,1,2,1,0
Julian Brandt,de GER,MFFW,Dortmund,de Bundesliga,25,1996,23,37,19,13,20,4,17,54,31.5,37,19,2,17,24,61,14,1
Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,19,2002,4,4,1,3,1,0,3,8,37.5,5,3,2,1,1,5,20,0
Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,29,1992,27,35,22,19,14,2,14,40,35.0,26,25,8,17,25,60,15,0
Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,21,1999,25,40,24,23,13,4,10,21,47.6,11,31,21,10,32,72,86,0
Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2
